Epic Name,Epic Link,Issue Type,Summary,Description,Epic Color
Project Oversight / Support,,Epic,Project Oversight / Support,,Subtle Blue
Environment Setup,,Epic,Environment Setup,,Gray
Launch Support,,Epic,Launch Support,,Yellow
3rd Party Apps,,Epic,3rd Party Apps,,Subtle teal
SEO,,Epic,SEO,,Bold purple
Design,,Epic,Design,,Teal
Globals,,Epic,Globals,,Green
Header,,Epic,Header,,Blue
Navigation,,Epic,Navigation,,Bold blue
Footer,,Epic,Footer,,Subtle red
Content Sections,,Epic,Content Sections,,Bold green
Cart,,Epic,Cart,,Purple
PLP / SRP,,Epic,PLP / SRP,,Orange
Collection,,Epic,Collection,,Orange
Search,,Epic,Search,,Bold orange
PDP Image & Summary,,Epic,PDP Image & Summary,,Bold teal
PDP Details,,Epic,PDP Details,,
Upsells / Cross Sells,,Epic,Upsells / Cross Sells,,Teal
Blog,,Epic,Blog,TODO: Add considerations for implementation team,Gray
Reviews,,Epic,Reviews,TODO: Add considerations for implementation team,Gray
Wishlist,,Epic,Wishlist,TODO: Add considerations for implementation team,Gray
Store Locations,,Epic,Store Locations,TODO: Add considerations for implementation team,Gray
Pages,,Epic,Pages,TODO: Add considerations for implementation team,Gray
,Project Oversight / Support,Task,Project / Product Management,,
,Project Oversight / Support,Task,Client Communication / Meetings,,
,Project Oversight / Support,Task,Internal Meeting,,
,Project Oversight / Support,Task,Technical Discovery / Research,,
,Project Oversight / Support,Task,Code Reviews,,
,Project Oversight / Support,Task,Kick Off,,
,Project Oversight / Support,Task,Document Apps in Theme README,,
,Project Oversight / Support,Task,Help & Mentoring,,
,Project Oversight / Support,UI/UX,Visual QA / Support,,
,Environment Setup,Task,Deployments,,
,Environment Setup,Task,Set Up Github Repo,,
,Environment Setup,Task,Set up Wyatt,,
,Launch Support,Task,Cutover Plan,,
,3rd Party Apps,Task,Install 3rd Party Apps,,
,SEO,New Feature,Redirects,,
,Design,UI/UX,Creative Discovery / Research,,
,Design,UI/UX,Design System,,
,Design,UI/UX,Design Header UI,,
,Design,UI/UX,Design Footer UI,,
,Design,UI/UX,Design Homepage Sections,,
,Design,UI/UX,Design PDP,,
,Design,UI/UX,Design PLP / Search Results,,
,Design,UI/UX,Design Content Modal,,
,Design,UI/UX,Design Cart,,
,Globals,New/Change Feature,Design System | Branding,"Update theme styles to match the branding section of the figma design system.

h3. Acceptance Criteria
h4. Admin
h4. Storefront
* Match design

h3. Technical Details
* Logo. Upload via editor & pull theme settings
* Fonts
* Colors
* Spacing

h3. Attachments",
,Globals,New/Change Feature,Design System | Text Styles,"Update theme styles to match the text styles section of the figma design system.

h3. Acceptance Criteria
h4. Admin
h4. Storefront
* Match design

h3. Technical Details

h3. Attachments",
,Globals,New/Change Feature,Design System | Elements,"Update theme styles to match the elements section of the figma design system.

h3. Acceptance Criteria
h4. Admin
h4. Storefront
- Match design

h3. Technical Details
- Buttons
- Icons
- Form elements
- Remaining elements likely to be handled by other tickets

h3. Attachments",
,Globals,New/Change Feature,Component | accordion,"Update HTML, CSS, and JS as needed for the `accordion` component. 

h3. Acceptance Criteria
h4. Admin
h4. Storefront
- Match design

h3. Technical Details
- If the component doesn't exist in design system, style based on an element somewhere else in the design
- If there are no instances of component in designs, make best judgement based on the rest of the designs

h3. Attachments",
,Globals,New/Change Feature,Component | back-to-top,"Update HTML, CSS, and JS as needed for the `back-to-top` component.

h3. Acceptance Criteria
h4. Admin
h4. Storefront
- Match design

h3. Technical Details
- If the component doesn't exist in design system, style based on an element somewhere else in the design
- If there are no instances of component in designs, make best judgement based on the rest of the designs

h3. Attachments",
,Globals,New/Change Feature,Component | drawer,"Update HTML, CSS, and JS as needed for the `drawer` component.

h3. Acceptance Criteria
h4. Admin
h4. Storefront
- Match design

h3. Technical Details
- If the component doesn't exist in design system, style based on an element somewhere else in the design
- If there are no instances of component in designs, make best judgement based on the rest of the designs

h3. Attachments",
,Globals,New/Change Feature,Component | loading,"Update HTML, CSS, and JS as needed for the `loading` component.

h3. Acceptance Criteria
h4. Admin
h4. Storefront
- Match design

h3. Technical Details
- If the component doesn't exist in design system, style based on an element somewhere else in the design
- If there are no instances of component in designs, make best judgement based on the rest of the designs

h3. Attachments",
,Globals,New/Change Feature,Component | localization-form,"Update HTML, CSS, and JS as needed for the `localization-form` component. Consider removing (including theme settings) if not in use.

h3. Acceptance Criteria
h4. Admin
h4. Storefront
- Match design

h3. Technical Details
- If the component doesn't exist in design system, style based on an element somewhere else in the design
- If there are no instances of component in designs, make best judgement based on the rest of the designs

h3. Attachments",
,Globals,New/Change Feature,Component | modal,"Update HTML, CSS, and JS as needed for the `modal` component.

h3. Acceptance Criteria
h4. Admin
h4. Storefront
- Match design

h3. Technical Details
- If the component doesn't exist in design system, style based on an element somewhere else in the design
- If there are no instances of component in designs, make best judgement based on the rest of the designs

h3. Attachments",
